Time;data1;data2
01/12/2019 23:00:00;16750.02734375;357.22453918457
01/12/2019 23:00:10;16716.068359375;357.203123474121
01/12/2019 23:00:20;16766.49609375;357.202658081055
01/12/2019 23:00:30;16786.625;357.214811706543
01/12/2019 23:00:40;16770.25;357.196112060547
01/12/2019 23:00:50;16785.287109375;357.188352966309
01/12/2019 23:01:00;16793.931640625;357.193495178223
01/12/2019 23:01:10;16786.333984375;357.195547485352
01/12/2019 23:01:20;16802.80078125;357.200605773926
01/12/2019 23:01:30;16836.48828125;357.195738220215
01/12/2019 23:01:40;16811.79296875;357.167684936523
01/12/2019 23:01:50;16757.873046875;357.115141296387
01/12/2019 23:02:00;16828.9453125;357.097845458984
01/12/2019 23:02:10;16865.18359375;357.116827392578
01/12/2019 23:02:20;16835.88671875;357.128981018066
01/12/2019 23:02:30;16865.123046875;357.112562561035
01/12/2019 23:02:40;16874.21484375;357.114363098144
01/12/2019 23:02:50;16798.03125;357.136091613769
01/12/2019 23:03:00;16745.984375;357.157278442383
01/12/2019 23:03:10;16755.640625;357.20012512207
01/12/2019 23:03:20;16805.94921875;357.186811828613
01/12/2019 23:03:30;16800.685546875;357.162130737305
01/12/2019 23:03:40;16778.44140625;357.18604888916
01/12/2019 23:03:50;16789.91796875;357.181661987305
01/12/2019 23:04:00;16777.599609375;357.160078430176
01/12/2019 23:04:10;16829.61328125;357.141073608398
01/12/2019 23:04:20;16867.1328125;357.133673095703
01/12/2019 23:04:30;16716.140625;357.129148864746
01/12/2019 23:04:40;16618.580078125;357.121786499023
01/12/2019 23:04:50;16716.2265625;357.119535827637
01/12/2019 23:05:00;16777.85546875;357.11467590332
01/12/2019 23:05:10;16715.69921875;357.107656860352
01/12/2019 23:05:20;16745.05078125;357.114408874512
01/12/2019 23:05:30;16846.486328125;357.133657836914
01/12/2019 23:05:40;16835.53125;357.124479675293
01/12/2019 23:05:50;16842.75390625;357.086515808105
01/12/2019 23:06:00;16856.580078125;357.055204772949
01/12/2019 23:06:10;16862.875;357.050260925293
01/12/2019 23:06:20;16748.98046875;357.050344848633
01/12/2019 23:06:30;16672.134765625;357.061956787109
01/12/2019 23:06:40;16711.61328125;357.069509887695
01/12/2019 23:06:50;16662.2109375;357.083280944824
01/12/2019 23:07:00;16678.609375;357.100462341309
01/12/2019 23:07:10;16747.19921875;357.095602416992
01/12/2019 23:07:20;16758.62109375;357.102621459961
01/12/2019 23:07:30;16791.275390625;357.095869445801
01/12/2019 23:07:40;16832.890625;357.062574768066
01/12/2019 23:07:50;16809.97265625;357.026770019531
01/12/2019 23:08:00;16840.73046875;357.002752685547
01/12/2019 23:08:10;16933.474609375;356.983763122559
01/12/2019 23:08:20;16921.46875;356.980986022949
01/12/2019 23:08:30;16814.21484375;357.009420776367
01/12/2019 23:08:40;16734.421875;357.010122680664
01/12/2019 23:08:50;16697.048828125;357.018789672852
01/12/2019 23:09:00;16734.609375;357.047918701172
01/12/2019 23:09:10;16783.580078125;357.057279968262
01/12/2019 23:09:20;16751.837890625;357.0669921875
01/12/2019 23:09:30;16724.7734375;357.0669921875
01/12/2019 23:09:40;16749.39453125;357.078695678711
01/12/2019 23:09:50;16801.294921875;357.069761657715
01/12/2019 23:10:00;16835.6875;357.052603149414
01/12/2019 23:10:10;16830.359375;357.069158935547
01/12/2019 23:10:20;16797.611328125;357.062567138672
01/12/2019 23:10:30;16817.34765625;357.036123657227
01/12/2019 23:10:40;16810.705078125;357.040556335449
01/12/2019 23:10:50;16681.0625;357.036291503906
01/12/2019 23:11:00;16663.748046875;357.031034851074
01/12/2019 23:11:10;16768.4453125;357.036116027832
01/12/2019 23:11:20;16759.685546875;357.052267456055
01/12/2019 23:11:30;16773.111328125;357.074186706543
01/12/2019 23:11:40;16723.72265625;357.069418334961
01/12/2019 23:11:50;16684.673828125;357.04591217041
01/12/2019 23:12:00;16688.78125;357.024076843262
01/12/2019 23:12:10;16673.67578125;357.026419067383
01/12/2019 23:12:20;16712.0703125;357.012449645996
01/12/2019 23:12:30;16714.8671875;357.00954284668
01/12/2019 23:12:40;16708.328125;357.024076843262
01/12/2019 23:12:50;16719.30078125;357.038175964355
01/12/2019 23:13:00;16757.517578125;357.052687072754
01/12/2019 23:13:10;16759.564453125;357.047987365723
01/12/2019 23:13:20;16768.28125;357.04315032959
01/12/2019 23:13:30;16793.400390625;357.038450622559
01/12/2019 23:13:40;16775.740234375;357.028913879394
01/12/2019 23:13:50;16786.935546875;357.021726989746
01/12/2019 23:14:00;16805.359375;357.005201721191
01/12/2019 23:14:10;16808.30859375;356.988348388672
01/12/2019 23:14:20;16798.546875;356.978880310059
01/12/2019 23:14:30;16826.697265625;356.971624755859
01/12/2019 23:14:40;16754.943359375;356.973974609375
01/12/2019 23:14:50;16698.251953125;356.983442687988
01/12/2019 23:15:00;16818.3984375;356.993048095703
01/12/2019 23:15:10;16897.654296875;357.004873657227
01/12/2019 23:15:20;16845.609375;357.021597290039
01/12/2019 23:15:30;16783.548828125;357.035902404785
01/12/2019 23:15:40;16749.416015625;357.031393432617
01/12/2019 23:15:50;16742.25390625;357.009901428223
01/12/2019 23:16:00;16769.904296875;356.99553527832
01/12/2019 23:16:10;16801.267578125;356.990698242187
01/12/2019 23:16:20;16779.482421875;357.009451293945
01/12/2019 23:16:30;16718.685546875;357.038221740723
01/12/2019 23:16:40;16721.076171875;357.033850097656
01/12/2019 23:16:50;16778.19140625;357.026342773437
01/12/2019 23:17:00;16826.263671875;357.038305664062
01/12/2019 23:17:10;16809.61328125;357.045492553711
